,0
Annual return,0.0808544647521241
Cumulative returns,0.25222896772554626
Annual volatility,0.14602501558682518
Sharpe ratio,0.6061236711168478
Calmar ratio,0.44626753962251636
Stability,0.19509490390125994
Max drawdown,-0.18117935447538117
Omega ratio,1.1269701969646846
Sortino ratio,0.8923739006677235
Skew,
Kurtosis,
Tail ratio,1.0445654653425371
Daily value at risk,-0.018046195629851023
