,0
Annual return,-0.0008159523223020271
Cumulative returns,-0.0023586111239081164
Annual volatility,0.17781278032145642
Sharpe ratio,0.08433414938532942
Calmar ratio,-0.0023308340254102355
Stability,0.3512586534740158
Max drawdown,-0.3500688223214076
Omega ratio,1.0171387404476069
Sortino ratio,0.11777659481517398
Skew,
Kurtosis,
Tail ratio,1.0936466884772298
Daily value at risk,-0.022342797898159326
