account_value,date,daily_return
948483.4812606811,2021-10-04,
960707.2543685912,2021-10-05,0.012887702684777347
966309.6494537353,2021-10-06,0.005831531988197858
974563.0737274169,2021-10-07,0.00854117960877998
972010.9020599364,2021-10-08,-0.002618785521720235
971402.5264770507,2021-10-11,-0.000625893785343723
962770.2674212799,2021-10-12,-0.008886387280746644
958714.8965808258,2021-10-13,-0.0042121895302357215
977615.9180178986,2021-10-14,0.01971495541008239
984876.149501358,2021-10-15,0.007426466109696106
996493.8703261719,2021-10-18,0.011796123635135158
1011520.6811171875,2021-10-19,0.015079682111940107
1014856.6229979858,2021-10-20,0.003297947281823088
1016320.0390288696,2021-10-21,0.0014419928862077214
1010956.3833678588,2021-10-22,-0.005277526227010054
1010608.1016051635,2021-10-25,-0.00034450720963352666
1015197.5713088379,2021-10-26,0.00454129518295443
1012046.8534667358,2021-10-27,-0.003103551398414006
1037220.1182006225,2021-10-28,0.02487361592761883
1018386.7348086548,2021-10-29,-0.018157556975119227
1012687.8981040649,2021-11-01,-0.005595945537979374
1019881.0414135436,2021-11-02,0.007103020904017487
1029871.695875061,2021-11-03,0.009795901733471224
1026269.2190073852,2021-11-04,-0.0034979860909905014
1029944.9109629516,2021-11-05,0.0035816059640974007
1024294.6725367431,2021-11-08,-0.005485961788893934
1026798.4795802002,2021-11-09,0.0024444206443603456
1007395.766111267,2021-11-10,-0.018896320801785604
1007040.6465723877,2021-11-11,-0.0003525124393267687
1021248.4947108154,2021-11-12,0.014108515070157424
1021299.6679957275,2021-11-15,5.0108553576455606e-05
1027993.6410761719,2021-11-16,0.006554367234429037
1044929.1806635743,2021-11-17,0.01647436220488019
1074745.709624756,2021-11-18,0.028534497373541523
1092709.5063563231,2021-11-19,0.01671446237997931
1095892.5201315307,2021-11-22,0.00291295514195844
1098546.6384176635,2021-11-23,0.0024218782749008128
1102085.265769043,2021-11-24,0.003221189913681366
1067162.4024105377,2021-11-26,-0.03168798680393925
1090147.6796810455,2021-11-29,0.021538687287509406
1124552.7860157317,2021-11-30,0.03156004179612859
1120947.6660206146,2021-12-01,-0.0032058254978764023
1114076.746281845,2021-12-02,-0.006129563357013312
1101189.4871677703,2021-12-03,-0.011567658293816008
1124846.3498157805,2021-12-06,0.021483008077797017
1164714.3237786712,2021-12-07,0.03544303981554453
1190846.214672226,2021-12-08,0.02243630936792762
1187292.2565291596,2021-12-09,-0.002984397228860125
1220551.7448104096,2021-12-10,0.028012890759077536
1195666.8226866913,2021-12-13,-0.02038825656472576
1186246.4392035676,2021-12-14,-0.007878769657550522
1219909.9295859528,2021-12-15,0.028378159267636205
1172878.4566764068,2021-12-16,-0.03855323394695942
1165271.682758255,2021-12-17,-0.006485560268288393
1155802.4835399932,2021-12-20,-0.008126172941787857
1177861.7280773467,2021-12-21,0.019085652480855142
1195675.3967511444,2021-12-22,0.015123735026924878
1200018.1722533721,2021-12-23,0.0036320689662325822
1227408.833267334,2021-12-27,0.022825205190458053
1220323.8137032622,2021-12-28,-0.005772338744875705
1220936.2863595122,2021-12-29,0.0005018935542946412
1212905.8906685943,2021-12-30,-0.006577243858368997
1208618.3717476958,2021-12-31,-0.003534914748031248
