account_rewards,date
22807.168167816126,2022-07-06
4567.5036356507335,2022-07-07
-14385.597322570859,2022-07-08
6646.48922576895,2022-07-11
-2479.2309310606215,2022-07-12
20194.721675109817,2022-07-13
11345.71078796382,2022-07-14
-21037.900563049363,2022-07-15
26981.32000366226,2022-07-18
14199.067105102353,2022-07-19
16168.077211731113,2022-07-20
-8869.567358154338,2022-07-21
-8037.624712646473,2022-07-22
-9665.00518646231,2022-07-25
36568.93238067627,2022-07-26
3968.4585936430376,2022-07-27
36116.62500457768,2022-07-28
-6956.789300766075,2022-07-29
-10379.445435546804,2022-08-01
42221.668429229874,2022-08-02
-2192.566677856492,2022-08-03
-1559.7068069458473,2022-08-04
-3221.347412109375,2022-08-05
333.5084752808325,2022-08-08
29310.14901690674,2022-08-09
-5182.189823913621,2022-08-10
25046.932588836644,2022-08-11
7656.47398681636,2022-08-12
-1127.103227081243,2022-08-15
10449.726652526762,2022-08-16
-2811.3995529173408,2022-08-17
-18361.481989685213,2022-08-18
-27617.292483672965,2022-08-19
-2371.3811609498225,2022-08-22
2074.732326095691,2022-08-23
17316.377670593327,2022-08-24
-45053.33239288349,2022-08-25
-15826.136097564595,2022-08-26
-17426.60298034665,2022-08-29
-11983.138636215357,2022-08-30
5178.225740051363,2022-08-31
-15114.982743530301,2022-09-01
-9139.366789245512,2022-09-02
10040.722642242443,2022-09-06
-10652.830850586062,2022-09-07
20781.51954110735,2022-09-08
42842.09581004316,2022-09-09
-67903.39421688835,2022-09-12
10538.866215515183,2022-09-13
-21240.099726821994,2022-09-14
-11910.757836913923,2022-09-15
27134.13638543687,2022-09-16
17471.565699920757,2022-09-19
-22667.256315612933,2022-09-20
-6926.58420858765,2022-09-21
-16547.40002136212,2022-09-22
2406.6420438385103,2022-09-23
6962.189221389592,2022-09-26
-13725.72747344966,2022-09-27
-52565.254466766375,2022-09-28
-30738.592445159913,2022-09-29
30343.779353637714,2022-09-30
