account_rewards,date
-14721.750053405762,2022-04-04
-14387.97470703139,2022-04-05
1392.856115722796,2022-04-06
-9137.731784057803,2022-04-07
-19755.207934570266,2022-04-08
8752.3004962157,2022-04-11
12818.73599243164,2022-04-12
-24052.470481506316,2022-04-13
-1073.4604690552223,2022-04-14
11410.085757446475,2022-04-18
-833.6399160157889,2022-04-19
-3899.8780667264946,2022-04-20
-22455.77591299452,2022-04-21
5189.6563294983935,2022-04-22
-28782.64010437019,2022-04-25
-1081.263243103167,2022-04-26
32612.68439060985,2022-04-27
-28193.41667272942,2022-04-28
1458.9452200315427,2022-04-29
7273.674867645372,2022-05-02
31499.262441772502,2022-05-03
-45487.727531433105,2022-05-04
3700.736943054013,2022-05-05
-26396.215583953774,2022-05-06
12355.667031555204,2022-05-09
-41209.70414428692,2022-05-10
-20469.108445617836,2022-05-11
24061.83167150896,2022-05-12
-8211.711688781856,2022-05-13
19335.975976623595,2022-05-16
-44851.60356597905,2022-05-17
-18332.88852258306,2022-05-18
1273.2851661529858,2022-05-19
29593.23845544434,2022-05-20
-15031.049900817918,2022-05-23
875.6979156495072,2022-05-24
18433.477787780692,2022-05-25
33726.09078979504,2022-05-26
-4541.749647522112,2022-05-27
-738.7911688841414,2022-05-31
14253.19752809126,2022-06-01
-33188.31436779781,2022-06-02
4259.885752716218,2022-06-03
14681.308163451962,2022-06-06
-4291.44607099914,2022-06-07
-30977.56422882073,2022-06-08
-32359.93885546876,2022-06-09
-31359.530438232352,2022-06-10
5302.316645049956,2022-06-13
16057.892640991253,2022-06-14
-32846.74095458991,2022-06-15
9286.685890502995,2022-06-16
26626.891777038574,2022-06-17
-3277.4852035522927,2022-06-21
18479.32189938356,2022-06-22
21305.169816055335,2022-06-23
-10.660159667953849,2022-06-24
-26564.072031860356,2022-06-27
11426.937205505325,2022-06-28
-16304.665277099586,2022-06-29
14549.047833252,2022-06-30
17577.114762878395,2022-07-01
