,date,actions
0,2023-04-05,[0]
1,2023-04-06,[100]
2,2023-04-10,[100]
3,2023-04-11,[15]
4,2023-04-12,[53]
5,2023-04-13,[18]
6,2023-04-14,[38]
7,2023-04-17,[-15]
8,2023-04-18,[67]
9,2023-04-19,[73]
10,2023-04-20,[-28]
11,2023-04-21,[100]
12,2023-04-24,[18]
13,2023-04-25,[80]
14,2023-04-26,[-86]
15,2023-04-27,[7]
16,2023-04-28,[-100]
17,2023-05-01,[75]
18,2023-05-02,[58]
19,2023-05-03,[54]
20,2023-05-04,[100]
21,2023-05-05,[87]
22,2023-05-08,[56]
23,2023-05-09,[100]
24,2023-05-10,[20]
25,2023-05-11,[100]
26,2023-05-12,[11]
27,2023-05-15,[51]
28,2023-05-16,[57]
29,2023-05-17,[60]
30,2023-05-18,[-49]
31,2023-05-19,[0]
32,2023-05-22,[0]
33,2023-05-23,[46]
34,2023-05-24,[56]
35,2023-05-25,[52]
36,2023-05-26,[63]
37,2023-05-30,[-60]
38,2023-05-31,[62]
39,2023-06-01,[-25]
40,2023-06-02,[100]
41,2023-06-05,[100]
42,2023-06-06,[75]
43,2023-06-07,[-64]
44,2023-06-08,[100]
45,2023-06-09,[100]
46,2023-06-12,[-84]
47,2023-06-13,[100]
48,2023-06-14,[-70]
49,2023-06-15,[35]
50,2023-06-16,[100]
51,2023-06-20,[100]
52,2023-06-21,[7]
53,2023-06-22,[-10]
54,2023-06-23,[-14]
55,2023-06-26,[100]
56,2023-06-27,[-79]
57,2023-06-28,[-36]
58,2023-06-29,[73]
59,2023-06-30,[100]
60,2023-07-03,[100]
61,2023-07-05,[90]
