account_value,date,daily_return
1203951.2934493711,2022-04-04,
1189229.5433959654,2022-04-05,-0.012227861819249619
1174841.568688934,2022-04-06,-0.012098568175446633
1176234.4248046568,2022-04-07,0.0011855693166160641
1167096.693020599,2022-04-08,-0.007768631483112132
1147341.4850860287,2022-04-11,-0.0169267962566505
1156093.7855822444,2022-04-12,0.007628330893621804
1168912.521574676,2022-04-13,0.011087972405262825
1144860.0510931697,2022-04-14,-0.02057679256365952
1143786.5906241145,2022-04-18,-0.0009376346637567368
1155196.676381561,2022-04-19,0.009975712122329172
1154363.0364655452,2022-04-20,-0.0007216432777724657
1150463.1583988187,2022-04-21,-0.003378380928297231
1128007.3824858242,2022-04-22,-0.019518900495907987
1133197.0388153226,2022-04-25,0.004600729046703389
1104414.3987109524,2022-04-26,-0.025399501691656723
1103333.1354678492,2022-04-27,-0.00097903761881879
1135945.819858459,2022-04-28,0.02955832952191817
1107752.4031857296,2022-04-29,-0.024819332207448364
1109211.3484057612,2022-05-02,0.0013170318708728423
1116485.0232734066,2022-05-03,0.006557519338491913
1147984.285715179,2022-05-04,0.0282128839932132
1102496.558183746,2022-05-05,-0.03962399842702968
1106197.2951268,2022-05-06,0.0033566879783739623
1079801.0795428462,2022-05-09,-0.02386212269749588
1092156.7465744014,2022-05-10,0.011442539987815303
1050947.0424301145,2022-05-11,-0.03773240816718204
1030477.9339844966,2022-05-12,-0.019476821970293545
1054539.7656560056,2022-05-13,0.02335016682838642
1046328.0539672237,2022-05-16,-0.007787009988830085
1065664.0299438473,2022-05-17,0.018479840909655376
1020812.4263778683,2022-05-18,-0.04208793982503323
1002479.5378552852,2022-05-19,-0.017959115748260812
1003752.8230214382,2022-05-20,0.0012701358163151877
1033346.0614768825,2022-05-23,0.029482595492348995
1018315.0115760646,2022-05-24,-0.014545998152192263
1019190.7094917141,2022-05-25,0.0008599479588287107
1037624.1872794948,2022-05-26,0.018086387185548114
1071350.2780692899,2022-05-27,0.03250318487488246
1066808.5284217678,2022-05-31,-0.004239276117710911
1066069.7372528836,2022-06-01,-0.0006925246182434286
1080322.9347809749,2022-06-02,0.013369854738414899
1047134.6204131771,2022-06-03,-0.03072073479077475
1051394.5061658933,2022-06-06,0.004068135719775379
1066075.8143293452,2022-06-07,0.013963653107709417
1061784.368258346,2022-06-08,-0.004025460491005384
1030806.8040295254,2022-06-09,-0.029175004977360364
998446.8651740566,2022-06-10,-0.031392826210469904
967087.3347358243,2022-06-13,-0.03140831178108361
972389.6513808742,2022-06-14,0.00548276919219326
988447.5440218655,2022-06-15,0.016513845677180727
955600.8030672756,2022-06-16,-0.03323063641894519
964887.4889577786,2022-06-17,0.009718164594142875
991514.3807348171,2022-06-21,0.027595851414551564
988236.8955312648,2022-06-22,-0.003305534712591207
1006716.2174306484,2022-06-23,0.018699283524978405
1028021.3872467037,2022-06-24,0.021163034276363124
1028010.7270870358,2022-06-27,-1.0369589388159461e-05
1001446.6550551754,2022-06-28,-0.025840267355120017
1012873.5922606807,2022-06-29,0.01141043024890398
996568.9269835812,2022-06-30,-0.01609743348200876
1011117.9748168332,2022-07-01,0.014599138543571755
1028695.0895797116,2022-07-05,0.017383841649202703
