account_rewards,date
-5043.7065109252,2023-07-07
-1358.090231323149,2023-07-10
4165.899329955922,2023-07-11
1960.6020858765114,2023-07-12
381.6409606933594,2023-07-13
9122.20257110591,2023-07-14
-765.4215103148017,2023-07-17
4048.6019302366767,2023-07-18
-5672.6748046875,2023-07-19
-3552.7154571532737,2023-07-20
2466.7054138183594,2023-07-21
2696.8599847410806,2023-07-24
2628.7449386599474,2023-07-25
-3998.486575317569,2023-07-26
8354.48898773198,2023-07-27
2031.3899032592308,2023-07-28
-2881.8677291870117,2023-07-31
-10646.14960021968,2023-08-01
-5104.749006652972,2023-08-02
-34043.40113220201,2023-08-03
-11968.897282409715,2023-08-04
3692.465104675386,2023-08-07
-6466.1978042603005,2023-08-08
-920.8525787352119,2023-08-09
234.81421813950874,2023-08-10
7179.801872253418,2023-08-11
-8881.216627502581,2023-08-14
-3985.8533950804267,2023-08-15
-11818.970658508362,2023-08-16
2184.4142944336636,2023-08-17
6183.142657470657,2023-08-18
6505.5373825073475,2023-08-21
18625.379743957426,2023-08-22
-23207.542352294782,2023-08-23
11114.668319702148,2023-08-24
8027.218418884091,2023-08-25
20066.679145965725,2023-08-28
18360.598062133882,2023-08-29
1148.6053497313987,2023-08-30
8576.79477233882,2023-08-31
1302.479994201567,2023-09-01
-38079.979856872465,2023-09-05
-29762.405869812006,2023-09-06
3492.288313293364,2023-09-07
6780.326998901321,2023-09-08
-17951.81169280992,2023-09-11
-12287.506066085887,2023-09-12
8855.220558547997,2023-09-13
-4304.099346923758,2023-09-14
17332.68928009027,2023-09-15
6459.953936950769,2023-09-18
-21035.227844238398,2023-09-19
-9166.214782714844,2023-09-20
4982.0721313629765,2023-09-21
7546.590982818627,2023-09-22
-24211.4852064515,2023-09-25
-8854.488235473633,2023-09-26
1510.7635055542924,2023-09-27
3055.4348907470703,2023-09-28
14924.268173217773,2023-09-29
-7865.428193435771,2023-10-02
7394.854503173847,2023-10-03
