,date,actions
0,2022-10-04,[86]
1,2022-10-05,[0]
2,2022-10-06,[0]
3,2022-10-07,[0]
4,2022-10-10,[0]
5,2022-10-11,[0]
6,2022-10-12,[0]
7,2022-10-13,[0]
8,2022-10-14,[0]
9,2022-10-17,[0]
10,2022-10-18,[0]
11,2022-10-19,[0]
12,2022-10-20,[0]
13,2022-10-21,[0]
14,2022-10-24,[0]
15,2022-10-25,[0]
16,2022-10-26,[0]
17,2022-10-27,[0]
18,2022-10-28,[0]
19,2022-10-31,[0]
20,2022-11-01,[0]
21,2022-11-02,[0]
22,2022-11-03,[0]
23,2022-11-04,[0]
24,2022-11-07,[0]
25,2022-11-08,[0]
26,2022-11-09,[0]
27,2022-11-10,[-7288]
28,2022-11-11,[100]
29,2022-11-14,[100]
30,2022-11-15,[100]
31,2022-11-16,[100]
32,2022-11-17,[100]
33,2022-11-18,[100]
34,2022-11-21,[100]
35,2022-11-22,[100]
36,2022-11-23,[100]
37,2022-11-25,[100]
38,2022-11-28,[100]
39,2022-11-29,[100]
40,2022-11-30,[100]
41,2022-12-01,[100]
42,2022-12-02,[100]
43,2022-12-05,[100]
44,2022-12-06,[100]
45,2022-12-07,[100]
46,2022-12-08,[100]
47,2022-12-09,[100]
48,2022-12-12,[100]
49,2022-12-13,[100]
50,2022-12-14,[100]
51,2022-12-15,[100]
52,2022-12-16,[100]
53,2022-12-19,[100]
54,2022-12-20,[100]
55,2022-12-21,[100]
56,2022-12-22,[100]
57,2022-12-23,[100]
58,2022-12-27,[100]
59,2022-12-28,[100]
60,2022-12-29,[100]
61,2022-12-30,[100]
