account_rewards,date
-4404.400794219924,2023-01-04
14607.114585876465,2023-01-05
1618.9120590209495,2023-01-06
1715.1316986083984,2023-01-09
7936.483703613281,2023-01-10
-235.72492523188703,2023-01-11
3606.84130859375,2023-01-12
3033.6496749877697,2023-01-13
-1826.054615783738,2023-01-17
129.61328430171125,2023-01-18
5925.763635253883,2023-01-19
7065.643653869629,2023-01-20
2947.601834106492,2023-01-23
-1344.9967758178245,2023-01-24
3948.72821350093,2023-01-25
3507.4521392821334,2023-01-26
-4961.473677062895,2023-01-27
2035.699951171875,2023-01-30
1683.9727111817338,2023-01-31
7480.093621826032,2023-02-01
4736.340829467634,2023-02-02
-3316.644590759184,2023-02-03
3175.0077758789994,2023-02-06
-2726.739445495885,2023-02-07
-953.6365814208984,2023-02-08
279.44957428006455,2023-02-09
1962.4343154905364,2023-02-10
-403.2488739010878,2023-02-13
1044.1104003903456,2023-02-14
-660.0122970580123,2023-02-15
-361.43654479971156,2023-02-16
-824.8572341920808,2023-02-17
28.0042724609375,2023-02-21
-14.811938476515934,2023-02-22
0.0,2023-02-23
0.0,2023-02-24
0.0,2023-02-27
0.0,2023-02-28
0.0,2023-03-01
0.0,2023-03-02
0.0,2023-03-03
0.0,2023-03-06
0.0,2023-03-07
0.0,2023-03-08
0.0,2023-03-09
0.0,2023-03-10
0.0,2023-03-13
0.0,2023-03-14
0.0,2023-03-15
0.0,2023-03-16
0.0,2023-03-17
0.0,2023-03-20
0.0,2023-03-21
0.0,2023-03-22
0.0,2023-03-23
0.0,2023-03-24
0.0,2023-03-27
0.0,2023-03-28
0.0,2023-03-29
0.0,2023-03-30
0.0,2023-03-31
0.0,2023-04-03
