,date,actions
0,2022-07-06,[-38]
1,2022-07-07,[-26]
2,2022-07-08,[4]
3,2022-07-11,[100]
4,2022-07-12,[-46]
5,2022-07-13,[100]
6,2022-07-14,[-100]
7,2022-07-15,[100]
8,2022-07-18,[88]
9,2022-07-19,[100]
10,2022-07-20,[34]
11,2022-07-21,[34]
12,2022-07-22,[14]
13,2022-07-25,[100]
14,2022-07-26,[-100]
15,2022-07-27,[53]
16,2022-07-28,[-100]
17,2022-07-29,[-55]
18,2022-08-01,[-32]
19,2022-08-02,[-17]
20,2022-08-03,[-100]
21,2022-08-04,[-100]
22,2022-08-05,[0]
23,2022-08-08,[-9]
24,2022-08-09,[87]
25,2022-08-10,[100]
26,2022-08-11,[54]
27,2022-08-12,[100]
28,2022-08-15,[-55]
29,2022-08-16,[-100]
30,2022-08-17,[100]
31,2022-08-18,[-4]
32,2022-08-19,[10]
33,2022-08-22,[-34]
34,2022-08-23,[-27]
35,2022-08-24,[-4]
36,2022-08-25,[100]
37,2022-08-26,[37]
38,2022-08-29,[-8]
39,2022-08-30,[33]
40,2022-08-31,[-75]
41,2022-09-01,[16]
42,2022-09-02,[100]
43,2022-09-06,[-97]
44,2022-09-07,[64]
45,2022-09-08,[49]
46,2022-09-09,[-73]
47,2022-09-12,[9]
48,2022-09-13,[100]
49,2022-09-14,[43]
50,2022-09-15,[-100]
51,2022-09-16,[58]
52,2022-09-19,[42]
53,2022-09-20,[-100]
54,2022-09-21,[-66]
55,2022-09-22,[100]
56,2022-09-23,[-55]
57,2022-09-26,[-61]
58,2022-09-27,[100]
59,2022-09-28,[1]
60,2022-09-29,[39]
61,2022-09-30,[-40]
