account_rewards,date
12223.77310791018,2021-10-04
5602.3950851440895,2021-10-05
8253.424273681594,2021-10-06
-2552.171667480492,2021-10-07
-608.3755828856956,2021-10-08
-8632.259055770817,2021-10-11
-4055.370840454125,2021-10-12
18901.021437072777,2021-10-13
7260.231483459473,2021-10-14
11617.72082481382,2021-10-15
15026.810791015625,2021-10-18
3335.9418807983166,2021-10-19
1463.416030883789,2021-10-20
-5363.6556610107655,2021-10-21
-348.2817626952892,2021-10-22
4589.469703674316,2021-10-25
-3150.717842102051,2021-10-26
25173.264733886695,2021-10-27
-18833.38339196774,2021-10-28
-5698.836704589892,2021-10-29
7193.143309478764,2021-11-01
9990.654461517348,2021-11-02
-3602.4768676757812,2021-11-03
3675.6919555664062,2021-11-04
-5650.238426208496,2021-11-05
2503.8070434570545,2021-11-08
-19402.71346893313,2021-11-09
-355.11953887937125,2021-11-10
14207.848138427711,2021-11-11
51.17328491213266,2021-11-12
6693.9730804443825,2021-11-15
16935.539587402367,2021-11-16
29816.52896118164,2021-11-17
17963.796731567243,2021-11-18
3183.013775207568,2021-11-19
2654.1182861328125,2021-11-22
3538.6273513794877,2021-11-23
-34922.8633585053,2021-11-24
22985.277270507766,2021-11-26
34405.10633468628,2021-11-29
-3605.1199951171875,2021-11-30
-6870.919738769531,2021-12-01
-12887.259114074754,2021-12-02
23656.862648010254,2021-12-03
39867.97396289068,2021-12-06
26131.89089355478,2021-12-07
-3553.958143066382,2021-12-08
33259.48828125,2021-12-09
-24884.92212371831,2021-12-10
-9420.383483123733,2021-12-13
33663.49038238521,2021-12-14
-47031.47290954599,2021-12-15
-7606.7739181518555,2021-12-16
-9469.199218261754,2021-12-17
22059.244537353516,2021-12-20
17813.668673797743,2021-12-21
4342.775502227712,2021-12-22
27390.66101396177,2021-12-23
-7085.01956407167,2021-12-27
612.47265625,2021-12-28
-8030.395690917969,2021-12-29
-4287.5189208984375,2021-12-30
