account_rewards,date
2155.2814526977018,2022-10-04
-7009.317626953125,2022-10-05
-38588.389770507696,2022-10-06
2384.70263671875,2022-10-07
-10405.995361328125,2022-10-10
-4624.614990234375,2022-10-11
33602.13269042969,2022-10-12
-33312.99694824219,2022-10-13
29121.751953125,2022-10-14
9683.156005859375,2022-10-17
795.0120849609375,2022-10-18
-3396.455322265625,2022-10-19
28038.048950195196,2022-10-20
15753.116088867188,2022-10-21
20884.05224609375,2022-10-24
-21606.557983398438,2022-10-25
-32879.62695312488,2022-10-26
79055.38342285145,2022-10-27
-17343.140258789062,2022-10-28
-19438.595947265625,2022-10-31
-40611.56152343738,2022-11-01
-44441.498046875,2022-11-02
-1954.2239990234375,2022-11-03
3908.447998046875,2022-11-04
4198.3621826171875,2022-11-07
-33513.279052734375,2022-11-08
86858.9346923827,2022-11-09
-1063.0821754150093,2022-11-10
-155.8971755981911,2022-11-11
334.8673278808128,2022-11-14
-387.3426864624489,2022-11-15
751.9522979736794,2022-11-16
268.08904571528547,2022-11-17
-1969.5942138670944,2022-11-18
1493.938029479701,2022-11-21
692.2256225587334,2022-11-22
-2660.82755279541,2022-11-23
-3878.1589996337425,2022-11-25
-3346.3990585326683,2022-11-28
8161.78502197261,2022-11-29
346.77722778311,2022-11-30
-709.9232467650436,2022-12-01
-1772.5612731934525,2022-12-02
-5925.988697814755,2022-12-05
-3340.3164993287064,2022-12-06
3042.9480026245583,2022-12-07
-938.7419082641136,2022-12-08
4614.054861450102,2022-12-09
2029.573574829381,2022-12-12
-4952.497021484654,2022-12-13
-15341.847760009696,2022-12-14
-4757.013861084008,2022-12-15
-5326.774713134742,2022-12-16
-193.93583374028094,2022-12-19
8433.753614807152,2022-12-20
-8967.889799499535,2022-12-21
-1078.7287506103748,2022-12-22
-5465.656422424363,2022-12-23
-12297.520416259766,2022-12-27
11333.453711700393,2022-12-28
1036.00137176516,2022-12-29
-16424.14546356199,2022-12-30
