account_value,date,daily_return
1101045.3103669584,2023-07-07,
1096001.6038560332,2023-07-10,-0.004580834651794818
1094643.51362471,2023-07-11,-0.0012391316094292337
1098809.412954666,2023-07-12,0.0038057132555979756
1100770.0150405425,2023-07-13,0.0017842967695411716
1101151.6560012358,2023-07-14,0.00034670363062105913
1110273.8585723417,2023-07-17,0.00828423816228252
1109508.437062027,2023-07-18,-0.0006893988401195372
1113557.0389922636,2023-07-19,0.003649005086394208
1107884.364187576,2023-07-20,-0.005094193297741745
1104331.6487304228,2023-07-21,-0.003206756564127944
1106798.3541442412,2023-07-24,0.0022336636069917315
1109495.2141289823,2023-07-25,0.002436631726676408
1112123.9590676422,2023-07-26,0.0023693161585411904
1108125.4724923247,2023-07-27,-0.0035953605195860883
1116479.9614800566,2023-07-28,0.007539298748310053
1118511.3513833159,2023-07-31,0.0018194593484386345
1115629.4836541289,2023-08-01,-0.0025765207707753035
1104983.3340539092,2023-08-02,-0.009542728796794853
1099878.5850472562,2023-08-03,-0.004619752035467273
1065835.1839150542,2023-08-04,-0.030951962875738093
1053866.2866326445,2023-08-07,-0.01122959484077568
1057558.7517373199,2023-08-08,0.0035037320687747453
1051092.5539330596,2023-08-09,-0.006114268161119041
1050171.7013543244,2023-08-10,-0.0008760908592583272
1050406.5155724639,2023-08-11,0.00022359602514199217
1057586.3174447173,2023-08-14,0.006835260221458528
1048705.1008172147,2023-08-15,-0.008397628147233327
1044719.2474221343,2023-08-16,-0.0038007380644705657
1032900.2767636259,2023-08-17,-0.011313059166538686
1035084.6910580596,2023-08-18,0.0021148356173144034
1041267.8337155302,2023-08-21,0.0059735620774665765
1047773.3710980376,2023-08-22,0.006247708007356634
1066398.750841995,2023-08-23,0.017776152990449212
1043191.2084897002,2023-08-24,-0.021762537075339594
1054305.8768094024,2023-08-25,0.010654488102707083
1062333.0952282865,2023-08-28,0.007613747201311805
1082399.7743742522,2023-08-29,0.018889253508244996
1100760.372436386,2023-08-30,0.016962862055979633
1101908.9777861175,2023-08-31,0.0010434653885560419
1110485.7725584563,2023-09-01,0.007783578267572366
1111788.2525526579,2023-09-05,0.0011728921039670936
1073708.2726957854,2023-09-06,-0.03425110831081468
1043945.8668259734,2023-09-07,-0.02771926660776003
1047438.1551392667,2023-09-08,0.003345277206672881
1054218.482138168,2023-09-11,0.006473248053485037
1036266.6704453581,2023-09-12,-0.01702854958148714
1023979.1643792723,2023-09-13,-0.011857474930468515
1032834.3849378203,2023-09-14,0.00864785228702969
1028530.2855908965,2023-09-15,-0.0041672696123327135
1045862.9748709868,2023-09-18,0.016851899766988865
1052322.9288079375,2023-09-19,0.0061766733235275595
1031287.7009636991,2023-09-20,-0.01998932767536188
1022121.4861809843,2023-09-21,-0.008888125761753352
1027103.5583123473,2023-09-22,0.004874246553585149
1034650.1492951659,2023-09-25,0.007347448971181114
1010438.6640887144,2023-09-26,-0.023400649217462655
1001584.1758532408,2023-09-27,-0.008763014075138575
1003094.9393587951,2023-09-28,0.001508373975924071
1006150.3742495421,2023-09-29,0.003046007681685836
1021074.6424227599,2023-10-02,0.014833039429468231
1013209.2142293241,2023-10-03,-0.007703088360683452
1020604.068732498,2023-10-04,0.007298447743389946
