,date,daily_return
0,2021-10-01,0.0
1,2021-10-04,-0.006975327908558667
2,2021-10-05,0.007337651902477632
3,2021-10-06,0.00201541609376466
4,2021-10-07,0.00938062808135885
5,2021-10-08,-0.0008444911205489381
6,2021-10-11,-0.006941652393300737
7,2021-10-12,-0.00457310537064798
8,2021-10-13,-0.0003564780075360433
9,2021-10-14,0.015308655022758704
10,2021-10-15,0.00731714502433473
11,2021-10-18,-0.0030813259308823155
12,2021-10-19,0.00705533452505544
13,2021-10-20,0.005890735557452104
14,2021-10-21,-0.0019515694847185361
15,2021-10-22,-0.0014950383448651416
16,2021-10-25,0.0012757230423927
17,2021-10-26,-0.000410608385085751
18,2021-10-27,-0.008181616395714797
19,2021-10-28,0.007729663992097512
20,2021-10-29,0.0024508498935240037
21,2021-11-01,0.0031777850943298163
22,2021-11-02,0.004082266777294434
23,2021-11-03,0.004067879483405025
24,2021-11-04,-0.0004411102487354288
25,2021-11-05,0.005552697640372015
26,2021-11-08,0.0017275329052527436
27,2021-11-09,-0.0029092219380793347
28,2021-11-10,-0.003899047842221207
29,2021-11-11,-0.004838096495371418
30,2021-11-12,0.003195470718418851
31,2021-11-15,0.0011394991617039926
32,2021-11-16,-0.0008053443483561957
33,2021-11-17,-0.005874047461319096
34,2021-11-18,-0.004565659188731148
35,2021-11-19,-0.0078670571291075
36,2021-11-22,0.002864905475757941
37,2021-11-23,0.004979439555176419
38,2021-11-24,-0.0003735979854024358
39,2021-11-26,-0.024432243019318126
40,2021-11-29,0.0049855191808134665
41,2021-11-30,-0.0182409894433366
42,2021-12-01,-0.011347886110197155
43,2021-12-02,0.018142827006952075
44,2021-12-03,0.000995290754327726
45,2021-12-06,0.018576200659687982
46,2021-12-07,0.012290188712721193
47,2021-12-08,0.000894525404920478
48,2021-12-09,0.0001751686843623621
49,2021-12-10,0.006503293402663626
50,2021-12-13,-0.006663324729462879
51,2021-12-14,-0.0012155546426746394
52,2021-12-15,0.009443300376910413
53,2021-12-16,0.0023194925478168694
54,2021-12-17,-0.012481167930285109
55,2021-12-20,-0.011051644802478198
56,2021-12-21,0.015717609797066226
57,2021-12-22,0.006330352093825601
58,2021-12-23,0.005093924527382174
59,2021-12-27,0.009084194185586467
60,2021-12-28,0.002997133186336156
61,2021-12-29,0.0022781693121482196
62,2021-12-30,-0.002248742987313941
63,2021-12-31,-0.0015458683486887941
64,2022-01-03,0.008315217669484265
65,2022-01-04,0.007070213792718832
66,2022-01-05,-0.005973046468310827
67,2022-01-06,-0.0027426711361483126
68,2022-01-07,0.003749469876532911
69,2022-01-10,-0.0033010550379472398
70,2022-01-11,0.004524954798292942
71,2022-01-12,0.0005915606186629819
72,2022-01-13,-0.003400634160388694
73,2022-01-14,-0.003934384900230034
74,2022-01-18,-0.01256438176642696
75,2022-01-19,-0.008773739917437925
76,2022-01-20,-0.008757739408965754
77,2022-01-21,-0.013197878496117638
78,2022-01-24,0.0011294155725119338
79,2022-01-25,0.0001812735287447828
80,2022-01-26,-0.006174622227480879
81,2022-01-27,-0.00244444337394875
82,2022-01-28,0.015211380771605497
83,2022-01-31,0.010890248151319264
84,2022-02-01,0.007196393704993267
85,2022-02-02,0.006025516259194028
86,2022-02-03,-0.014529048084427855
87,2022-02-04,-0.001194616687143725
88,2022-02-07,0.0009548940282493977
89,2022-02-08,0.008431480457185902
90,2022-02-09,0.007999386868579516
91,2022-02-10,-0.01232905587773862
92,2022-02-11,-0.013055959210775054
93,2022-02-14,-0.004975285734231689
94,2022-02-15,0.012751481847208312
95,2022-02-16,-0.0014259273617995838
96,2022-02-17,-0.013233899554266348
97,2022-02-18,-0.005881920642792092
98,2022-02-22,-0.012064696301613687
99,2022-02-23,-0.013043492030068467
100,2022-02-24,0.0018024071398657028
101,2022-02-25,0.02550867227479483
102,2022-02-28,-0.004710516236887675
103,2022-03-01,-0.01719194378744392
104,2022-03-02,0.017926651898430707
105,2022-03-03,-0.0014167627480130127
106,2022-03-04,-0.004627592026949569
107,2022-03-07,-0.022707319342508546
108,2022-03-08,-0.005769128176258781
109,2022-03-09,0.01858851766951937
110,2022-03-10,-0.005276917723435437
111,2022-03-11,-0.006861565968636357
112,2022-03-14,-0.0005788951138716989
113,2022-03-15,0.01716323304331632
114,2022-03-16,0.0145817998817862
115,2022-03-17,0.011155252810288766
116,2022-03-18,0.006574773213480262
117,2022-03-21,-0.004015323930664588
118,2022-03-22,0.007914368594563391
119,2022-03-23,-0.011733921156335503
120,2022-03-24,0.010432980855214661
121,2022-03-25,0.006006066875391802
122,2022-03-28,0.002138831860136922
123,2022-03-29,0.010242840229311746
124,2022-03-30,-0.0016382522896424396
125,2022-03-31,-0.016235459752231
126,2022-04-01,0.00319603180386656
127,2022-04-04,0.0031484478210945833
128,2022-04-05,-0.00850274958976264
129,2022-04-06,-0.0030826135720765694
130,2022-04-07,0.002972017216942243
131,2022-04-08,0.00253901197966984
132,2022-04-11,-0.011537964521377682
133,2022-04-12,-0.0026172824732263976
134,2022-04-13,0.00950304145623439
135,2022-04-14,-0.0031158511004896203
136,2022-04-18,-0.001976142164747309
137,2022-04-19,0.015434947104663928
138,2022-04-20,0.007018920660875771
139,2022-04-21,-0.008318936612437579
140,2022-04-22,-0.027115770234465885
141,2022-04-25,0.0055884131141083915
142,2022-04-26,-0.023879639383538487
143,2022-04-27,-0.0015459125224606043
144,2022-04-28,0.01905159976924755
145,2022-04-29,-0.028585829279746254
146,2022-05-02,0.003231487022329572
147,2022-05-03,0.0029067031348998583
148,2022-05-04,0.02863876891891003
