date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-01,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
2021-10-04,0.0336717814207077,0.035219211131334305,0.03538457304239273,0.03646480664610863,0.0336717814207077,0.03422509506344795,0.03558694198727608,0.0336717814207077,0.0336717814207077,0.034657444804906845,0.03472725301980972,0.0336717814207077,0.0336717814207077,0.0336717814207077,0.03427425026893616,0.0336717814207077,0.037033747881650925,0.0336717814207077,0.03403450921177864,0.0336717814207077,0.034708358347415924,0.03575778752565384,0.0336717814207077,0.0336717814207077,0.03390659764409065,0.034546028822660446,0.034594032913446426,0.0336717814207077,0.03714624419808388
2021-10-05,0.033669572323560715,0.03522717207670212,0.03536725044250488,0.03646343946456909,0.033669572323560715,0.03424420580267906,0.03563683480024338,0.033669572323560715,0.033669572323560715,0.03460507467389107,0.0347607284784317,0.033669572323560715,0.033669572323560715,0.033669572323560715,0.034254539757966995,0.033669572323560715,0.03702068701386452,0.033669572323560715,0.03403237834572792,0.033669572323560715,0.034672822803258896,0.03576754778623581,0.033669572323560715,0.033669572323560715,0.033906128257513046,0.03458636626601219,0.0346200168132782,0.033669572323560715,0.03713031858205795
2021-10-06,0.03368867561221123,0.03543829917907715,0.03511018306016922,0.03652665764093399,0.03368867561221123,0.0347701758146286,0.035603996366262436,0.03368867561221123,0.03368867561221123,0.03502379730343819,0.034902289509773254,0.03368867561221123,0.03368867561221123,0.03368867561221123,0.0340239517390728,0.03368867561221123,0.03694614768028259,0.03368867561221123,0.03368867561221123,0.03368867561221123,0.035138025879859924,0.03500308096408844,0.03368867561221123,0.03368867561221123,0.0339912511408329,0.03468983247876167,0.034203242510557175,0.03368867561221123,0.03698757663369179
2021-10-07,0.03360209986567497,0.03537442162632942,0.03537893667817116,0.036790382117033005,0.03360209986567497,0.03474638983607292,0.03565669059753418,0.03360209986567497,0.03360209986567497,0.035482533276081085,0.03471117839217186,0.03360209986567497,0.03360209986567497,0.03360209986567497,0.03423837199807167,0.03360209986567497,0.03741783648729324,0.03360209986567497,0.03360209986567497,0.03360209986567497,0.03507985547184944,0.03510743007063866,0.03360209986567497,0.03360209986567497,0.033803604543209076,0.034735057502985,0.033810269087553024,0.03360209986567497,0.03723771497607231
2021-10-08,0.03372186794877052,0.035307466983795166,0.035424552857875824,0.03656112775206566,0.03372186794877052,0.034384146332740784,0.03574037924408913,0.03372186794877052,0.03372186794877052,0.03582681715488434,0.03445883095264435,0.03372186794877052,0.03372186794877052,0.03372186794877052,0.033803295344114304,0.03372186794877052,0.03740132972598076,0.03372186794877052,0.03372186794877052,0.03372186794877052,0.03493545576930046,0.03477395325899124,0.03372186794877052,0.03372186794877052,0.034257058054208755,0.03453967720270157,0.03381161391735077,0.03372186794877052,0.036668140441179276
2021-10-11,0.0338052436709404,0.035493530333042145,0.0353010892868042,0.036403317004442215,0.0338052436709404,0.034330859780311584,0.03541379049420357,0.0338052436709404,0.0338052436709404,0.03582807630300522,0.03430956229567528,0.0338052436709404,0.0338052436709404,0.0338052436709404,0.0338052436709404,0.0338052436709404,0.037507563829422,0.0338052436709404,0.0338052436709404,0.0338052436709404,0.03496044874191284,0.034518200904130936,0.0338052436709404,0.0338052436709404,0.034135136753320694,0.03447825834155083,0.0338052436709404,0.0338052436709404,0.0364362895488739
2021-10-12,0.03377288952469826,0.035200539976358414,0.0354195162653923,0.03630765154957771,0.03377288952469826,0.0341702364385128,0.035586368292570114,0.03377288952469826,0.03377288952469826,0.0361110083758831,0.0341496542096138,0.03377288952469826,0.03377288952469826,0.03377288952469826,0.03377288952469826,0.03377288952469826,0.03804084286093712,0.03377288952469826,0.03377288952469826,0.03377288952469826,0.03491842746734619,0.034757841378450394,0.03377288952469826,0.03377288952469826,0.03401722386479378,0.03431618958711624,0.03377288952469826,0.03377288952469826,0.03663827106356621
2021-10-13,0.03372596576809883,0.03506092354655266,0.03511035814881325,0.03659268096089363,0.03372596576809883,0.034596845507621765,0.0353877879679203,0.03372596576809883,0.03372596576809883,0.036119021475315094,0.03449477627873421,0.03372596576809883,0.03372596576809883,0.03372596576809883,0.03402214124798775,0.03372596576809883,0.038239985704422,0.03372596576809883,0.03372596576809883,0.03372596576809883,0.03494003415107727,0.03482534736394882,0.03372596576809883,0.03372596576809883,0.03372596576809883,0.03415445610880852,0.03372596576809883,0.03372596576809883,0.03684018552303314
2021-10-14,0.03381045535206795,0.035401877015829086,0.035137828439474106,0.036091383546590805,0.03381045535206795,0.03473344445228577,0.035595931112766266,0.03381045535206795,0.03381045535206795,0.03567466512322426,0.034233517944812775,0.03381045535206795,0.03381045535206795,0.03381045535206795,0.03383088484406471,0.03381045535206795,0.03826681897044182,0.03381045535206795,0.03381045535206795,0.03381045535206795,0.03472756966948509,0.03488538786768913,0.03381045535206795,0.03381045535206795,0.03398740291595459,0.03424887731671333,0.03381045535206795,0.03381045535206795,0.036027565598487854
2021-10-15,0.03366851434111595,0.035693805664777756,0.035435035824775696,0.0362103171646595,0.03366851434111595,0.03494822233915329,0.036856669932603836,0.03366851434111595,0.03366851434111595,0.035983163863420486,0.03390523046255112,0.03366851434111595,0.03366851434111595,0.03366851434111595,0.03366851434111595,0.03387698531150818,0.03835476562380791,0.03366851434111595,0.03366851434111595,0.03366851434111595,0.03398201987147331,0.03456637263298035,0.03366851434111595,0.03366851434111595,0.034530434757471085,0.034556351602077484,0.03366851434111595,0.03366851434111595,0.03607286885380745
