date,ensemble
2021-04-06,1000000.0
2021-04-07,1000000.0
2021-04-08,1000000.0
2021-04-09,1000000.0
2021-04-12,1000000.0
2021-04-13,1000000.0
2021-04-14,1000000.0
2021-04-15,1000000.0
2021-04-16,1000000.0
2021-04-19,1000000.0
2021-04-20,1000000.0
2021-04-21,1000000.0
2021-04-22,1000000.0
2021-04-23,1000000.0
2021-04-26,1000000.0
2021-04-27,1000000.0
2021-04-28,1000000.0
2021-04-29,1000000.0
2021-04-30,1000000.0
2021-05-03,1000000.0
2021-05-04,1000000.0
2021-05-05,1000000.0
2021-05-06,1000000.0
2021-05-07,1000000.0
2021-05-10,1000000.0
2021-05-11,1000000.0
2021-05-12,1000000.0
2021-05-13,1000000.0
2021-05-14,1000000.0
2021-05-17,1000000.0
2021-05-18,1000000.0
2021-05-19,1000000.0
2021-05-20,1000000.0
2021-05-21,1000000.0
2021-05-24,1000000.0
2021-05-25,1000000.0
2021-05-26,1000000.0
2021-05-27,1000000.0
2021-05-28,1000000.0
2021-06-01,1000000.0
2021-06-02,1000000.0
2021-06-03,1000000.0
2021-06-04,1000000.0
2021-06-07,1000000.0
2021-06-08,1000000.0
2021-06-09,1000000.0
2021-06-10,1000000.0
2021-06-11,1000000.0
2021-06-14,1000000.0
2021-06-15,1000000.0
2021-06-16,1000000.0
2021-06-17,1000000.0
2021-06-18,1000000.0
2021-06-21,1000000.0
2021-06-22,1000000.0
2021-06-23,1000000.0
2021-06-24,1000000.0
2021-06-25,1000000.0
2021-06-28,1000000.0
2021-06-29,1000000.0
2021-06-30,1000000.0
2021-07-01,1000000.0
2021-07-02,1000000.0
2021-07-06,1000000.0
2021-07-07,1000237.0736236572
2021-07-08,999960.9536865236
2021-07-09,1000499.175202942
2021-07-12,1000244.6665298464
2021-07-13,1000791.6125656128
2021-07-14,1002850.7052780152
2021-07-15,1002374.2534439088
2021-07-16,1000713.4925765992
2021-07-19,997207.9682998658
2021-07-20,1000836.6896514894
2021-07-21,1000010.0738891604
2021-07-22,1001649.7688430788
2021-07-23,1003887.8809555057
2021-07-26,1004465.994659424
2021-07-27,1001172.8227386476
2021-07-28,998338.670654297
2021-07-29,999429.0493545532
2021-07-30,999804.6154556276
2021-08-02,999154.2352127075
2021-08-03,1002762.95521698
2021-08-04,1001900.737538147
2021-08-05,1002124.5114593506
2021-08-06,1000522.5711212158
2021-08-09,1000389.8389022828
2021-08-10,999167.6249191284
2021-08-11,999819.7329299928
2021-08-12,1007871.9389038086
2021-08-13,1008436.9885101318
2021-08-16,1014198.3034225464
2021-08-17,1011432.5636932373
2021-08-18,999710.8747039796
2021-08-19,1000769.0997940064
2021-08-20,1005602.9200256348
2021-08-23,1010683.9505172728
2021-08-24,1010358.5811370848
2021-08-25,1005871.2394302367
2021-08-26,1002865.1529434205
2021-08-27,1006822.3522628784
2021-08-30,1024188.8129074096
2021-08-31,1019086.0076919555
2021-09-01,1021819.9690734864
2021-09-02,1026526.0222213744
2021-09-03,1029266.7407943724
2021-09-07,1039620.2889541624
2021-09-08,1032594.25728302
2021-09-09,1027862.096307373
2021-09-10,1004212.2934265136
2021-09-13,1006942.648866272
2021-09-14,1000018.8852279664
2021-09-15,1004490.7459884644
2021-09-16,1003269.1439117432
2021-09-17,989257.0976654053
2021-09-20,972938.0955627442
2021-09-21,975533.0348220824
2021-09-22,988642.4887542723
2021-09-23,994039.2651107789
2021-09-24,994530.8087310792
2021-09-27,985651.9760421752
2021-09-28,965509.6182083128
2021-09-29,970938.252772522
2021-09-30,962924.8074905396
2021-10-01,969940.82073822
2021-10-04,948483.4812606812
2021-10-05,960707.2543685912
2021-10-06,966309.6494537352
2021-10-07,974563.0737274168
2021-10-08,972010.9020599364
2021-10-11,971402.5264770509
2021-10-12,962770.26742128
2021-10-13,958714.8965808258
2021-10-14,977615.9180178986
2021-10-15,984876.149501358
2021-10-18,996493.870326172
2021-10-19,1011520.6811171876
2021-10-20,1014856.6229979858
2021-10-21,1016320.0390288696
2021-10-22,1010956.3833678588
2021-10-25,1010608.1016051637
2021-10-26,1015197.571308838
2021-10-27,1012046.8534667358
2021-10-28,1037220.1182006224
2021-10-29,1018386.7348086548
2021-11-01,1012687.8981040647
2021-11-02,1019881.0414135436
2021-11-03,1029871.695875061
2021-11-04,1026269.2190073852
2021-11-05,1029944.9109629516
2021-11-08,1024294.6725367432
2021-11-09,1026798.4795802002
2021-11-10,1007395.766111267
2021-11-11,1007040.6465723875
2021-11-12,1021248.4947108154
2021-11-15,1021299.6679957276
2021-11-16,1027993.641076172
2021-11-17,1044929.1806635744
2021-11-18,1074745.709624756
2021-11-19,1092709.5063563231
2021-11-22,1095892.5201315307
2021-11-23,1098546.6384176635
2021-11-24,1102085.265769043
2021-11-26,1067162.4024105377
2021-11-29,1090147.6796810457
2021-11-30,1124552.7860157315
2021-12-01,1120947.6660206146
2021-12-02,1114076.746281845
2021-12-03,1101189.4871677705
2021-12-06,1124846.3498157803
2021-12-07,1164714.3237786712
2021-12-08,1190846.214672226
2021-12-09,1187292.2565291596
2021-12-10,1220551.7448104096
2021-12-13,1195666.8226866913
2021-12-14,1186246.4392035676
2021-12-15,1219909.9295859528
2021-12-16,1172878.4566764068
2021-12-17,1165271.682758255
2021-12-20,1155802.4835399932
2021-12-21,1177861.7280773467
2021-12-22,1195675.3967511444
2021-12-23,1200018.172253372
2021-12-27,1227408.833267334
2021-12-28,1220323.8137032622
2021-12-29,1220936.2863595122
2021-12-30,1212905.8906685945
2021-12-31,1208618.3717476958
2022-01-03,1238834.4957100982
2022-01-04,1223114.2239815826
2022-01-05,1190583.8704049224
2022-01-06,1170709.1053961944
2022-01-07,1171866.177738113
2022-01-10,1172002.2791480254
2022-01-11,1191672.9296759795
2022-01-12,1194735.737293167
2022-01-13,1172002.2791480254
2022-01-14,1177992.1085089874
2022-01-18,1155734.689762039
2022-01-19,1131435.7498664092
2022-01-20,1119728.6095008086
2022-01-21,1105435.121631546
2022-01-24,1100057.9589728543
2022-01-25,1087534.2101477813
2022-01-26,1086921.5434455108
2022-01-27,1083722.6344184112
2022-01-28,1159342.113376541
2022-01-31,1158182.7713805847
2022-02-01,1158148.7251266174
2022-02-02,1158374.3971984556
2022-02-03,1157486.111143463
2022-02-04,1157354.340982025
2022-02-07,1156976.4263992002
2022-02-08,1158839.9658263852
2022-02-09,1159826.206666534
2022-02-10,1156518.396980255
2022-02-11,1153404.745539825
2022-02-14,1153625.3615096738
2022-02-15,1157861.0767364192
2022-02-16,1157559.263961761
2022-02-17,1152825.082031219
2022-02-18,1150621.3761764215
2022-02-22,1146185.3329452206
2022-02-23,1139445.9664886163
2022-02-24,1143917.8539672545
2022-02-25,1147656.8633269956
2022-02-28,1148147.7453689268
2022-03-01,1144334.7890716244
2022-03-02,1151294.8985824278
2022-03-03,1150560.684802215
2022-03-04,1143585.745895355
2022-03-07,1134386.5077865291
2022-03-08,1129773.399072235
2022-03-09,1143921.9137664489
2022-03-10,1132079.954489105
2022-03-11,1121572.1856475524
2022-03-14,1109772.5399367977
2022-03-15,1123016.1320037534
2022-03-16,1136793.1871505429
2022-03-17,1140036.1486999202
2022-03-18,1150982.989431732
2022-03-21,1155673.0602767635
2022-03-22,1167560.6397964167
2022-03-23,1172491.5315475157
2022-03-24,1186595.236610382
2022-03-25,1189020.055093353
2022-03-28,1192396.1185165097
2022-03-29,1205666.781820648
2022-03-30,1200825.319406097
2022-03-31,1187685.6271712948
2022-04-01,1186392.9819869688
2022-04-04,1203951.2934493711
2022-04-05,1189229.5433959654
2022-04-06,1174841.568688934
2022-04-07,1176234.4248046568
2022-04-08,1167096.693020599
2022-04-11,1147341.4850860287
2022-04-12,1156093.7855822444
2022-04-13,1168912.521574676
2022-04-14,1144860.0510931695
2022-04-18,1143786.5906241145
2022-04-19,1155196.676381561
2022-04-20,1154363.0364655452
2022-04-21,1150463.1583988187
2022-04-22,1128007.3824858242
2022-04-25,1133197.0388153226
2022-04-26,1104414.3987109524
2022-04-27,1103333.1354678492
2022-04-28,1135945.819858459
